code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SH.600009,上海机场,2023-03-08 00:00:00,57.69,58.12,58.28,56.96,0.0,0.00329,6347303,368058068.0,0.6581226186352537,57.74
SH.600009,上海机场,2023-03-09 00:00:00,58.07,57.83,58.42,57.52,0.0,0.00383,7384592,428150999.0,-0.49896765313145075,58.12
SH.600009,上海机场,2023-03-10 00:00:00,57.06,56.67,57.9,56.43,0.0,0.00559,10763779,613896092.0,-2.0058793014006513,57.83
SH.600009,上海机场,2023-03-13 00:00:00,56.63,57.53,57.62,56.49,0.0,0.00438,8443657,484900957.0,1.517557790718192,56.67
SH.600009,上海机场,2023-03-14 00:00:00,57.52,57.11,57.63,56.58,0.0,0.00364,7022213,402786765.0,-0.7300538849296049,57.53
SH.600009,上海机场,2023-03-15 00:00:00,57.41,56.93,58.37,56.81,0.0,0.00425,8192376,472459916.0,-0.3151812292067934,57.11
SH.600009,上海机场,2023-03-16 00:00:00,56.68,55.85,57.3,55.43,0.0,0.00562,10833251,610024552.0,-1.8970665729843639,56.93
SH.600009,上海机场,2023-03-17 00:00:00,56.04,55.33,56.64,55.06,0.0,0.00542,10447156,584195349.0,-0.9310653536257889,55.85
SH.600009,上海机场,2023-03-20 00:00:00,55.08,54.25,55.08,54.1,0.0,0.00632,12182624,667208990.0,-1.9519248147478734,55.33
SH.600009,上海机场,2023-03-21 00:00:00,54.58,55.9,56.07,54.34,0.0,0.00606,11668209,647325959.0,3.0414746543778777,54.25
SH.600009,上海机场,2023-03-22 00:00:00,55.96,55.65,56.19,55.32,0.0,0.00344,6624773,370230402.0,-0.4472271914132379,55.9
SH.600009,上海机场,2023-03-23 00:00:00,55.38,55.26,55.47,54.59,0.0,0.00554,10669090,587596474.0,-0.7008086253369282,55.65
SH.600009,上海机场,2023-03-24 00:00:00,55.16,54.61,55.57,54.5,0.0,0.00499,9622064,530166147.0,-1.1762576909156688,55.26
SH.600009,上海机场,2023-03-27 00:00:00,54.64,54.85,54.93,53.92,0.0,0.00693,13354786,728489730.0,0.439479948727343,54.61
SH.600009,上海机场,2023-03-28 00:00:00,54.92,53.97,55.17,53.83,0.0,0.0052,10027482,545871256.0,-1.6043755697356474,54.85
SH.600009,上海机场,2023-03-29 00:00:00,53.97,54.32,54.9,53.93,0.0,0.00427,8221525,449758541.0,0.6485084306096006,53.97
SH.600009,上海机场,2023-03-30 00:00:00,54.39,55.98,56.06,54.39,0.0,0.0073,14075278,782683078.0,3.055964653902792,54.32
SH.600009,上海机场,2023-03-31 00:00:00,55.98,55.51,56.23,55.4,0.0,0.00481,9277890,518457693.0,-0.8395855662736672,55.98
SH.600009,上海机场,2023-04-03 00:00:00,55.58,56.25,56.78,55.23,0.0,0.00652,12567005,707550197.0,1.3330931363718286,55.51
SH.600009,上海机场,2023-04-04 00:00:00,56.2,57.01,57.42,56.01,0.0,0.00733,14122095,806424356.0,1.3511111111111076,56.25
SH.600009,上海机场,2023-04-06 00:00:00,57.0,56.78,57.22,56.48,0.0,0.00432,8320989,474282295.0,-0.40343799333449726,57.01
SH.600009,上海机场,2023-04-07 00:00:00,56.79,56.84,57.07,56.44,0.0,0.00351,6764799,386108951.0,0.10567101091934179,56.78
SH.600009,上海机场,2023-04-10 00:00:00,56.84,56.07,56.87,55.95,0.0,0.00415,8002598,451345543.0,-1.3546798029556706,56.84
SH.600009,上海机场,2023-04-11 00:00:00,55.99,56.27,56.32,55.59,0.0,0.00383,7388381,415844138.0,0.3566969859104741,56.07
SH.600009,上海机场,2023-04-12 00:00:00,56.19,55.44,56.28,55.28,0.0,0.00424,8177329,455947691.0,-1.4750311000533238,56.27
SH.600009,上海机场,2023-04-13 00:00:00,55.28,55.56,55.66,54.85,0.0,0.00389,7494015,414996372.0,0.21645021645022464,55.44
SH.600009,上海机场,2023-04-14 00:00:00,55.7,54.69,55.74,54.44,0.0,0.00608,11720994,644408712.0,-1.5658747300216065,55.56
SH.600009,上海机场,2023-04-17 00:00:00,54.73,55.39,55.67,54.73,0.0,0.0056,10799836,598799474.0,1.2799414883891076,54.69
SH.600009,上海机场,2023-04-18 00:00:00,55.55,55.07,55.57,54.47,0.0,0.00422,8127048,448711303.0,-0.5777216103989895,55.39
SH.600009,上海机场,2023-04-19 00:00:00,55.36,55.07,55.36,54.49,0.0,0.00543,10458774,576963316.0,0.0,55.07
SH.600009,上海机场,2023-04-20 00:00:00,55.13,54.64,55.47,54.37,0.0,0.0047,9052974,497852745.0,-0.780824405302342,55.07
SH.600009,上海机场,2023-04-21 00:00:00,54.65,53.51,54.7,53.43,0.0,0.00562,10837637,586752474.0,-2.0680819912152315,54.64
SH.600009,上海机场,2023-04-24 00:00:00,53.48,52.27,53.5,51.76,0.0,0.00719,13851443,728200520.0,-2.317323864698178,53.51
SH.600009,上海机场,2023-04-25 00:00:00,52.33,51.97,52.97,50.79,0.0,0.0061,11754326,609841747.0,-0.573942988329834,52.27
SH.600009,上海机场,2023-04-26 00:00:00,51.98,52.73,52.85,51.98,0.0,0.00396,7633879,403123769.0,1.4623821435443487,51.97
SH.600009,上海机场,2023-04-27 00:00:00,52.87,52.66,53.28,52.24,0.0,0.00352,6785078,358649583.0,-0.13275175421960989,52.73
SH.600009,上海机场,2023-04-28 00:00:00,52.78,53.48,53.48,52.31,0.0,0.005,9641184,513025332.0,1.5571591340676043,52.66
SH.600009,上海机场,2023-05-04 00:00:00,53.48,51.66,53.48,51.36,0.0,0.00677,13035962,681416025.0,-3.4031413612565453,53.48
SH.600009,上海机场,2023-05-05 00:00:00,51.78,52.24,52.42,51.66,0.0,0.00335,6446074,337413779.0,1.1227255129694258,51.66
SH.600009,上海机场,2023-05-08 00:00:00,52.52,51.2,52.6,50.96,0.0,0.00634,12224260,630139050.0,-1.990811638591116,52.24
SH.600009,上海机场,2023-05-09 00:00:00,51.18,51.09,51.89,50.97,0.0,0.00507,9767072,504235036.0,-0.2148437499999989,51.2
SH.600009,上海机场,2023-05-10 00:00:00,51.08,50.03,51.18,49.79,0.0,0.00605,11649539,587020933.0,-2.0747700137013156,51.09
SH.600009,上海机场,2023-05-11 00:00:00,50.13,49.48,50.23,49.34,0.0,0.00575,11071170,552905627.0,-1.099340395762551,50.03
SH.600009,上海机场,2023-05-12 00:00:00,49.54,48.9,49.71,48.77,0.0,0.00388,7467501,368883096.0,-1.172190784155211,49.48
SH.600009,上海机场,2023-05-15 00:00:00,48.91,49.74,49.76,48.46,0.0,0.00367,7071851,349316939.0,1.717791411042952,48.9
SH.600009,上海机场,2023-05-16 00:00:00,49.73,49.71,49.96,49.48,0.0,0.00298,5732927,286363946.0,-0.060313630880581295,49.74
SH.600009,上海机场,2023-05-17 00:00:00,49.93,49.26,50.12,49.03,0.0,0.0033,6362022,316803378.0,-0.9052504526252321,49.71
SH.600009,上海机场,2023-05-18 00:00:00,49.26,48.98,49.77,48.75,0.0,0.00328,6323692,312337023.0,-0.568412505075114,49.26
SH.600009,上海机场,2023-05-19 00:00:00,48.88,49.15,49.47,48.7,0.0,0.00214,4118269,203219654.0,0.3470804409963285,48.98
SH.600009,上海机场,2023-05-22 00:00:00,49.19,50.07,50.39,48.89,0.0,0.00446,8592257,430423914.0,1.8718209562563617,49.15
SH.600009,上海机场,2023-05-23 00:00:00,49.78,48.72,50.03,48.65,0.0,0.0053,10212762,503243953.0,-2.6962252846015606,50.07
SH.600009,上海机场,2023-05-24 00:00:00,48.39,47.07,48.41,47.06,0.0,0.00707,13617770,650967243.0,-3.3866995073891597,48.72
SH.600009,上海机场,2023-05-25 00:00:00,47.06,47.15,47.55,46.58,0.0,0.00369,7116542,336270854.0,0.169959634586782,47.07
SH.600009,上海机场,2023-05-26 00:00:00,47.2,47.06,47.28,46.43,0.0,0.00269,5175699,243903627.0,-0.1908801696712541,47.15
SH.600009,上海机场,2023-05-29 00:00:00,47.1,46.89,47.37,46.73,0.0,0.00283,5455986,257446235.0,-0.36124096897577923,47.06
SH.600009,上海机场,2023-05-30 00:00:00,46.89,46.48,47.06,45.63,0.0,0.00634,12213510,565977880.0,-0.874386862870556,46.89
SH.600009,上海机场,2023-05-31 00:00:00,46.31,46.38,46.77,45.5,0.0,0.00463,8920997,413078751.0,-0.21514629948363667,46.48
SH.600009,上海机场,2023-06-01 00:00:00,46.23,44.9,46.23,44.83,0.0,0.00812,15642061,712139392.0,-3.1910306166451146,46.38
SH.600009,上海机场,2023-06-02 00:00:00,44.9,45.77,45.96,44.9,0.0,0.00533,10267927,469936114.0,1.937639198218273,44.9
SH.600009,上海机场,2023-06-05 00:00:00,45.77,45.58,46.13,45.22,0.0,0.00331,6374908,292877224.0,-0.41511907362902517,45.77
SH.600009,上海机场,2023-06-06 00:00:00,45.62,44.97,45.83,44.6,0.0,0.00544,10474471,475916060.0,-1.3383062746818768,45.58
SH.600009,上海机场,2023-06-07 00:00:00,44.97,45.62,46.28,44.91,0.0,0.0047,9062401,415794171.0,1.445408049810982,44.97
SH.600009,上海机场,2023-06-08 00:00:00,45.72,46.41,46.57,45.63,0.0,0.00526,10140784,470804657.0,1.7316966242875913,45.62
SH.600009,上海机场,2023-06-09 00:00:00,46.58,46.75,46.76,46.23,0.0,0.00557,10726218,501817529.0,0.73260073260074,46.41
SH.600009,上海机场,2023-06-12 00:00:00,46.75,46.69,47.15,46.27,0.0,0.00369,7101929,333426103.0,-0.12834224598930966,46.75
SH.600009,上海机场,2023-06-13 00:00:00,46.49,46.59,46.89,46.33,0.0,0.0038,7329427,342350334.0,-0.21417862497321552,46.69
SH.600009,上海机场,2023-06-14 00:00:00,46.6,46.72,47.31,46.48,0.0,0.00483,9306113,438118573.0,0.2790298347284727,46.59
SH.600009,上海机场,2023-06-15 00:00:00,46.78,47.4,47.73,46.53,0.0,0.00459,8844620,418864755.0,1.455479452054794,46.72
SH.600009,上海机场,2023-06-16 00:00:00,47.41,47.56,47.65,47.09,0.0,0.00401,7720774,367878345.0,0.33755274261604157,47.4
SH.600009,上海机场,2023-06-19 00:00:00,47.72,47.61,48.35,47.18,0.0,0.00475,9159126,438897629.0,0.10513036164843809,47.56
SH.600009,上海机场,2023-06-20 00:00:00,47.62,47.0,47.76,46.89,0.0,0.00331,6369846,301871273.0,-1.2812434362528868,47.61
SH.600009,上海机场,2023-06-21 00:00:00,47.01,47.07,47.98,46.99,0.0,0.00438,8437628,401274365.0,0.14893617021276656,47.0
SH.600009,上海机场,2023-06-26 00:00:00,46.77,45.52,46.77,45.49,0.0,0.00569,10972692,504976894.0,-3.292967920118966,47.07
SH.600009,上海机场,2023-06-27 00:00:00,45.52,46.18,46.25,45.14,0.0,0.00335,6460634,298346550.0,1.4499121265377781,45.52
SH.600009,上海机场,2023-06-28 00:00:00,46.35,46.14,46.36,45.8,0.0,0.00317,6115739,283326893.0,-0.08661758336942214,46.18
SH.600009,上海机场,2023-06-29 00:00:00,46.18,45.2,46.26,45.08,0.0,0.00471,9069358,413203912.0,-2.037277850021668,46.14
SH.600009,上海机场,2023-06-30 00:00:00,45.16,45.2,45.37,44.94,0.0,0.00354,6826885,309920695.0,0.0,45.2
SH.600009,上海机场,2023-07-03 00:00:00,45.23,46.82,47.32,45.23,0.0,0.0091,17526315,820930423.0,3.5840707964601712,45.2
SH.600009,上海机场,2023-07-04 00:00:00,46.68,47.12,47.47,46.57,0.0,0.00522,10058409,475409933.0,0.640751815463471,46.82
SH.600009,上海机场,2023-07-05 00:00:00,47.06,46.7,47.28,46.63,0.0,0.00266,5126799,241013056.0,-0.8913412563667119,47.12
SH.600009,上海机场,2023-07-06 00:00:00,46.68,46.06,47.26,45.95,0.0,0.00423,8142684,379915331.0,-1.3704496788008578,46.7
SH.600009,上海机场,2023-07-07 00:00:00,45.87,46.28,46.42,45.81,0.0,0.0025,4823772,223858479.0,0.4776378636560982,46.06
SH.600009,上海机场,2023-07-10 00:00:00,46.66,46.86,47.23,46.36,0.0,0.00444,8554439,402625913.0,1.2532411408815867,46.28
SH.600009,上海机场,2023-07-11 00:00:00,46.86,47.11,47.2,46.49,0.0,0.00357,6882642,324584327.0,0.5335040546308152,46.86
SH.600009,上海机场,2023-07-12 00:00:00,47.29,46.78,47.29,46.63,0.0,0.00278,5355307,251933410.0,-0.7004882190617667,47.11
SH.600009,上海机场,2023-07-13 00:00:00,46.97,46.7,47.08,46.6,0.0,0.00371,7156657,336409647.0,-0.1710132535271447,46.78
SH.600009,上海机场,2023-07-14 00:00:00,46.89,45.66,46.92,45.58,0.0,0.00824,15874060,730629090.0,-2.226980728051405,46.7
SH.600009,上海机场,2023-07-17 00:00:00,45.67,45.8,46.03,45.3,0.0,0.00319,6149004,282612521.0,0.3066141042487967,45.66
SH.600009,上海机场,2023-07-18 00:00:00,45.71,45.4,45.76,45.28,0.0,0.00445,8570209,391655635.0,-0.8733624454148442,45.8
SH.600009,上海机场,2023-07-19 00:00:00,45.36,44.77,45.4,44.68,0.0,0.00647,12458489,561982507.0,-1.3876651982378756,45.4
SH.600009,上海机场,2023-07-20 00:00:00,44.74,44.11,45.18,44.08,0.0,0.00744,14331930,641496676.0,-1.4742014742014824,44.77
SH.600009,上海机场,2023-07-21 00:00:00,44.11,44.33,45.15,44.07,0.0,0.00621,11972450,535968395.0,0.49875311720698,44.11
SH.600009,上海机场,2023-07-24 00:00:00,44.23,43.56,44.26,43.29,0.0,0.00757,14585381,640984426.0,-1.7369727047146313,44.33
SH.600009,上海机场,2023-07-25 00:00:00,44.19,44.54,44.73,44.0,0.0,0.00914,17621534,786631206.0,2.249770431588606,43.56
SH.600009,上海机场,2023-07-26 00:00:00,44.58,43.8,44.58,43.48,0.0,0.00818,15767952,694695005.0,-1.6614279299506107,44.54
SH.600009,上海机场,2023-07-27 00:00:00,43.91,44.19,44.57,43.59,0.0,0.00778,14986700,664816956.0,0.8904109589041109,43.8
SH.600009,上海机场,2023-07-28 00:00:00,44.02,46.24,46.25,43.82,0.0,0.01548,29827689,1357565333.0,4.639058610545383,44.19
SH.600009,上海机场,2023-07-31 00:00:00,46.78,47.18,48.71,46.78,0.0,0.01877,36159609,1723892396.0,2.0328719723183344,46.24
SH.600009,上海机场,2023-08-01 00:00:00,47.13,46.63,47.75,46.59,0.0,0.00913,17585157,831245661.0,-1.1657481983891418,47.18
SH.600009,上海机场,2023-08-02 00:00:00,46.48,46.88,47.5,46.13,0.0,0.00708,13644741,643260979.0,0.5361355350632641,46.63
SH.600009,上海机场,2023-08-03 00:00:00,46.57,47.06,47.26,46.33,0.0,0.00649,12503620,587778058.0,0.38395904436860007,46.88
SH.600009,上海机场,2023-08-04 00:00:00,47.49,46.71,47.75,46.66,0.0,0.00591,11389551,538278401.0,-0.7437314067148352,47.06
SH.600009,上海机场,2023-08-07 00:00:00,46.63,46.2,46.63,46.07,0.0,0.00431,8307482,386002607.0,-1.0918432883750762,46.71
SH.600009,上海机场,2023-08-08 00:00:00,46.23,45.92,46.34,45.7,0.0,0.00413,7949209,367316527.0,-0.6060606060606085,46.2
SH.600009,上海机场,2023-08-09 00:00:00,45.72,45.97,46.28,45.66,0.0,0.00336,6471138,299159513.0,0.1088850174215966,45.92
SH.600009,上海机场,2023-08-10 00:00:00,46.33,47.61,47.63,46.24,0.0,0.01211,23339990,1106214056.0,3.567544050467698,45.97
SH.600009,上海机场,2023-08-11 00:00:00,47.64,46.91,48.14,46.88,0.0,0.00939,18099272,863060552.0,-1.4702793530770908,47.61
